order_id,customer_id,product_category,product_name,quantity,unit_price,total_amount,order_date,customer_age,customer_gender,customer_city
ORD_00000020,CUST_001555,Automotive,Car Accessories,1,268.57,268.57,2023-06-03,39,Male,杭州
ORD_00000021,CUST_000327,Health,First Aid Kit,1,80.11,80.11,2023-10-06,69,Female,天津
ORD_00000022,CUST_000866,Home & Garden,Sofa,3,147.89,443.68,2023-01-25,28,Female,青岛
ORD_00000023,CUST_000570,Clothing,Jacket,2,255.63,511.26,2023-02-12,50,Female,西安
ORD_00000024,CUST_000441,Automotive,Dash Cam,4,191.08,764.31,2023-11-15,34,Female,武汉
ORD_00000025,CUST_000690,Clothing,T-Shirt,1,29.81,29.81,2023-02-25,33,Male,郑州
ORD_00000026,CUST_000190,Sports,Dumbbells,3,267.34,802.01,2023-05-17,30,Male,西安
ORD_00000027,CUST_000199,Sports,Running Shoes,4,168.99,675.94,2023-03-09,20,Female,西安
ORD_00000028,CUST_001736,Sports,Running Shoes,1,137.46,137.46,2023-11-19,40,Female,成都
ORD_00000029,CUST_001237,Books,AI Handbook,2,36.16,72.32,2023-10-07,55,Female,武汉
ORD_00000030,CUST_001653,Electronics,MacBook Pro,5,3298.81,16494.05,2023-01-25,55,Male,成都
ORD_00000031,CUST_001495,Beauty,Perfume,4,16.41,65.65,2023-12-04,46,Male,成都
ORD_00000032,CUST_001099,Clothing,Jeans,2,271.74,543.48,2023-10-28,22,Female,深圳
ORD_00000033,CUST_001993,Sports,Dumbbells,2,225.39,450.78,2023-03-17,32,Female,武汉
ORD_00000034,CUST_000162,Toys,Puzzle,5,113.24,566.18,2023-09-06,37,Female,南京
ORD_00000035,CUST_000601,Food,Coffee Beans,3,18.87,56.61,2023-11-05,32,Male,苏州
ORD_00000036,CUST_001267,Sports,Yoga Mat,2,228.82,457.64,2023-02-14,22,Female,西安
ORD_00000037,CUST_001183,Books,Python Programming,4,68.83,275.32,2023-07-12,27,Female,南京
ORD_00000038,CUST_001443,Electronics,AirPods,3,947.37,2842.11,2023-08-02,23,Female,武汉
ORD_00000039,CUST_000094,Health,Vitamins,3,27.66,82.99,2023-08-08,59,Female,重庆
ORD_00000040,CUST_000467,Automotive,Car Cover,4,103.06,412.23,2023-10-16,30,Female,广州
ORD_00000041,CUST_000593,Electronics,Gaming Laptop,3,871.94,2615.81,2023-06-29,42,Female,重庆
ORD_00000042,CUST_001752,Books,Machine Learning,5,23.4,117.0,2023-02-06,59,Male,杭州
ORD_00000043,CUST_001775,Clothing,T-Shirt,2,41.92,83.84,2023-05-07,30,Female,郑州
ORD_00000044,CUST_000779,Home & Garden,Coffee Maker,3,427.05,1281.16,2023-10-21,26,Male,西安
ORD_00000045,CUST_000929,Food,Coffee Beans,5,17.38,86.89,2023-11-06,34,Female,长沙
ORD_00000046,CUST_001709,Sports,Yoga Mat,4,212.99,851.95,2023-06-22,65,Female,青岛
ORD_00000047,CUST_000334,Sports,Yoga Mat,4,217.34,869.37,2023-08-02,62,Male,成都
ORD_00000048,CUST_000728,Books,Data Science,5,28.04,140.2,2023-03-26,55,Female,广州
ORD_00000049,CUST_001373,Home & Garden,Coffee Maker,1,418.27,418.27,2023-05-14,57,Male,郑州
ORD_00000050,CUST_001438,Health,Protein Powder,3,293.2,879.59,2023-12-29,55,Male,深圳
ORD_00000051,CUST_001328,Electronics,AirPods,5,896.92,4484.59,2023-12-09,53,Female,成都
ORD_00000052,CUST_001248,Food,Coffee Beans,1,17.62,17.62,2023-04-13,25,Female,西安
ORD_00000053,CUST_000351,Toys,Action Figure,3,149.45,448.34,2023-03-29,31,Female,南京
ORD_00000054,CUST_001494,Books,Web Development,3,30.45,91.34,2023-06-19,65,Female,长沙
ORD_00000055,CUST_000335,Beauty,Perfume,2,15.39,30.78,2023-12-13,32,Female,杭州
ORD_00000056,CUST_000778,Home & Garden,Coffee Maker,3,467.91,1403.73,2023-04-19,32,Female,广州
ORD_00000057,CUST_001896,Food,Coffee Beans,1,18.56,18.56,2023-03-31,55,Male,长沙
ORD_00000058,CUST_001410,Toys,Puzzle,5,123.54,617.71,2023-12-09,50,Female,南京
ORD_00000059,CUST_000450,Health,Protein Powder,4,248.39,993.58,2023-04-27,34,Male,杭州
ORD_00000060,CUST_000665,Automotive,Car Cover,4,98.07,392.27,2023-01-25,58,Male,长沙
ORD_00000061,CUST_001590,Electronics,iPad,2,2434.59,4869.18,2023-05-14,36,Female,武汉
ORD_00000062,CUST_000470,Electronics,MacBook Pro,3,3370.63,10111.89,2023-02-07,61,Female,成都
ORD_00000063,CUST_001649,Home & Garden,Kitchen Set,5,464.79,2323.93,2023-11-18,54,Female,长沙
ORD_00000064,CUST_000822,Home & Garden,Coffee Maker,3,377.53,1132.59,2023-12-21,55,Male,苏州
ORD_00000065,CUST_000136,Books,Data Science,1,24.09,24.09,2023-05-26,48,Male,广州
ORD_00000066,CUST_001871,Toys,Remote Car,1,53.01,53.01,2023-12-10,33,Male,南京
ORD_00000067,CUST_001795,Health,Thermometer,5,185.26,926.28,2023-01-01,20,Female,天津
ORD_00000068,CUST_000645,Books,Data Science,4,26.21,104.86,2023-05-06,62,Male,上海
ORD_00000069,CUST_001343,Beauty,Face Mask,3,43.89,131.68,2023-08-14,65,Female,南京
ORD_00000070,CUST_000811,Food,Honey,5,58.5,292.48,2023-07-30,22,Female,北京
ORD_00000071,CUST_000940,Clothing,Jacket,1,240.07,240.07,2023-11-25,66,Male,武汉
ORD_00000072,CUST_000543,Clothing,Dress,1,175.31,175.31,2023-12-02,46,Female,深圳
ORD_00000073,CUST_000506,Automotive,Car Charger,4,245.61,982.46,2023-02-03,30,Female,成都
ORD_00000074,CUST_001150,Toys,Action Figure,1,148.57,148.57,2023-05-14,48,Female,上海
ORD_00000075,CUST_000539,Automotive,Car Charger,5,213.56,1067.81,2023-12-18,28,Female,重庆
ORD_00000076,CUST_001198,Beauty,Skincare Set,1,89.67,89.67,2023-02-08,45,Male,北京
ORD_00000077,CUST_001839,Food,Organic Tea,2,15.84,31.67,2023-09-01,53,Male,上海
ORD_00000078,CUST_000818,Sports,Yoga Mat,2,181.77,363.54,2023-09-01,69,Female,武汉
ORD_00000079,CUST_000450,Clothing,Dress,5,211.8,1059.01,2023-01-15,34,Male,杭州
ORD_00000080,CUST_001044,Beauty,Face Mask,4,44.93,179.73,2023-01-09,62,Female,成都
ORD_00000081,CUST_000187,Automotive,Dash Cam,5,257.5,1287.49,2023-07-28,62,Male,苏州
ORD_00000082,CUST_000097,Clothing,Jeans,3,268.56,805.67,2023-03-10,40,Male,天津
ORD_00000083,CUST_000314,Food,Coffee Beans,5,17.02,85.09,2023-05-26,38,Male,广州
ORD_00000084,CUST_000328,Automotive,Tire Pump,2,437.72,875.44,2023-09-17,53,Female,西安
ORD_00000085,CUST_001394,Beauty,Skincare Set,2,117.86,235.73,2023-07-08,58,Female,重庆
ORD_00000086,CUST_001222,Electronics,AirPods,1,995.81,995.81,2023-07-10,26,Male,武汉
ORD_00000087,CUST_000789,Sports,Dumbbells,1,206.61,206.61,2023-09-24,39,Female,武汉
ORD_00000088,CUST_001221,Beauty,Perfume,3,21.87,65.6,2023-10-25,40,Female,上海
ORD_00000089,CUST_001084,Books,AI Handbook,5,30.74,153.69,2023-05-21,60,Male,广州
ORD_00000090,CUST_001989,Toys,Puzzle,4,117.01,468.03,2023-03-14,27,Female,南京
ORD_00000091,CUST_001763,Electronics,iPhone 14,4,1944.71,7778.82,2023-09-03,42,Female,青岛
ORD_00000092,CUST_001394,Health,Massage Gun,4,94.82,379.29,2023-10-23,58,Female,重庆
ORD_00000093,CUST_000235,Health,Protein Powder,5,322.34,1611.71,2023-07-25,51,Male,上海
ORD_00000094,CUST_001813,Toys,Action Figure,2,161.75,323.5,2023-08-11,52,Male,杭州
ORD_00000095,CUST_001538,Home & Garden,Coffee Maker,1,373.62,373.62,2023-10-03,33,Male,天津
ORD_00000096,CUST_001575,Food,Honey,4,42.77,171.06,2023-05-10,38,Male,广州
ORD_00000097,CUST_000697,Clothing,Jeans,1,286.61,286.61,2023-12-25,53,Male,南京
ORD_00000098,CUST_000602,Beauty,Skincare Set,4,95.07,380.28,2023-03-11,66,Female,青岛
ORD_00000099,CUST_000324,Beauty,Perfume,3,17.42,52.25,2023-03-23,23,Male,广州
ORD_00000100,CUST_000007,Health,Massage Gun,3,113.51,340.53,2023-07-11,62,Male,青岛
ORD_00000101,CUST_001794,Health,Massage Gun,5,95.79,478.95,2023-11-11,37,Male,成都
ORD_00000102,CUST_000540,Toys,LEGO Set,4,21.58,86.34,2023-11-14,51,Male,长沙
ORD_00000103,CUST_001561,Clothing,Sweater,1,276.44,276.44,2023-08-05,19,Female,北京
ORD_00000104,CUST_001040,Clothing,T-Shirt,4,42.02,168.07,2023-07-02,23,Female,上海
ORD_00000105,CUST_001783,Food,Coffee Beans,1,17.64,17.64,2023-04-10,19,Female,成都
ORD_00000106,CUST_000612,Food,Coffee Beans,3,18.5,55.5,2023-05-24,52,Female,深圳
ORD_00000107,CUST_001040,Food,Chocolate,3,62.96,188.88,2023-08-08,23,Female,上海
ORD_00000108,CUST_000408,Clothing,Jacket,4,217.01,868.03,2023-09-30,26,Female,长沙
ORD_00000109,CUST_000766,Automotive,Dash Cam,5,263.02,1315.12,2023-06-04,52,Male,西安
ORD_00000110,CUST_000331,Toys,Action Figure,2,160.75,321.5,2023-01-06,19,Female,天津
ORD_00000111,CUST_001953,Automotive,Car Cover,2,111.11,222.22,2023-10-12,45,Female,西安
ORD_00000112,CUST_001890,Toys,Board Game,1,117.56,117.56,2023-06-23,41,Male,重庆
ORD_00000113,CUST_001882,Electronics,iPhone 14,3,1943.43,5830.3,2023-04-25,51,Female,武汉
ORD_00000114,CUST_001227,Home & Garden,Kitchen Set,2,413.67,827.34,2023-03-16,60,Male,西安
ORD_00000115,CUST_001001,Electronics,Samsung Galaxy,5,4068.14,20340.68,2023-03-31,51,Male,南京
ORD_00000116,CUST_000230,Sports,Yoga Mat,5,213.56,1067.8,2023-12-25,61,Female,郑州
ORD_00000117,CUST_001800,Automotive,Car Accessories,3,355.06,1065.18,2023-10-03,37,Male,武汉
ORD_00000118,CUST_000630,Books,Web Development,3,30.19,90.56,2023-04-19,54,Male,苏州
ORD_00000119,CUST_000119,Books,Web Development,1,27.97,27.97,2023-07-19,36,Male,武汉
ORD_00000120,CUST_001799,Toys,Remote Car,4,58.93,235.7,2023-09-03,23,Male,北京
ORD_00000121,CUST_001940,Electronics,Gaming Laptop,5,710.04,3550.2,2023-10-10,69,Male,重庆
ORD_00000122,CUST_000176,Health,Massage Gun,1,106.23,106.23,2023-08-18,61,Female,南京
ORD_00000123,CUST_000996,Electronics,AirPods,4,758.86,3035.45,2023-05-03,63,Female,深圳
ORD_00000124,CUST_001558,Toys,Action Figure,3,155.63,466.89,2023-06-27,42,Female,天津
ORD_00000125,CUST_001569,Clothing,Dress,4,194.17,776.69,2023-07-06,28,Male,苏州
ORD_00000126,CUST_000263,Health,Vitamins,1,29.17,29.17,2023-02-17,69,Male,青岛
ORD_00000127,CUST_000974,Toys,Puzzle,3,134.53,403.58,2023-04-09,52,Male,长沙
ORD_00000128,CUST_000339,Books,AI Handbook,4,34.35,137.38,2023-09-10,43,Male,杭州
ORD_00000129,CUST_001081,Food,Chocolate,5,66.16,330.82,2023-09-30,38,Female,青岛
ORD_00000130,CUST_000867,Books,Data Science,4,31.4,125.59,2023-05-31,23,Female,杭州
ORD_00000131,CUST_001903,Toys,Action Figure,2,140.0,280.0,2023-07-25,34,Female,青岛
ORD_00000132,CUST_001547,Health,Massage Gun,2,87.85,175.7,2023-03-11,18,Female,苏州
ORD_00000133,CUST_001413,Books,Python Programming,3,74.06,222.19,2023-10-19,36,Male,重庆
ORD_00000134,CUST_001461,Home & Garden,Garden Tools,3,267.43,802.3,2023-12-27,22,Male,苏州
ORD_00000135,CUST_000818,Health,Vitamins,2,32.9,65.79,2023-12-18,69,Female,武汉
ORD_00000136,CUST_001331,Sports,Yoga Mat,5,170.3,851.51,2023-08-10,69,Male,杭州
ORD_00000137,CUST_000898,Toys,Board Game,4,145.63,582.53,2023-01-01,52,Male,广州
ORD_00000138,CUST_000925,Clothing,Jeans,2,248.79,497.58,2023-08-24,38,Female,西安
ORD_00000139,CUST_000508,Books,Machine Learning,1,23.3,23.3,2023-03-23,68,Female,成都
ORD_00000140,CUST_000132,Home & Garden,Sofa,5,111.76,558.78,2023-07-11,43,Female,武汉
ORD_00000141,CUST_000044,Food,Organic Tea,5,13.8,69.0,2023-01-14,66,Female,苏州
ORD_00000142,CUST_001135,Books,Machine Learning,3,24.14,72.41,2023-07-28,29,Female,广州
ORD_00000143,CUST_001206,Books,Machine Learning,5,28.57,142.85,2023-02-25,27,Male,杭州
ORD_00000144,CUST_000015,Electronics,AirPods,5,853.42,4267.09,2023-09-02,29,Male,武汉
ORD_00000145,CUST_001450,Food,Coffee Beans,3,19.21,57.63,2023-11-02,35,Female,南京
ORD_00000146,CUST_000121,Books,Machine Learning,2,28.68,57.36,2023-09-30,40,Male,苏州
ORD_00000147,CUST_000139,Electronics,MacBook Pro,2,3017.35,6034.69,2023-05-12,33,Female,北京
ORD_00000148,CUST_001761,Home & Garden,Sofa,5,146.25,731.24,2023-12-16,52,Male,杭州
ORD_00000149,CUST_000146,Toys,LEGO Set,1,28.5,28.5,2023-11-21,30,Male,郑州
ORD_00000150,CUST_000488,Home & Garden,Coffee Maker,5,507.1,2535.51,2023-01-16,58,Male,广州
ORD_00000151,CUST_001371,Beauty,Face Mask,3,34.85,104.54,2023-07-20,66,Female,杭州
ORD_00000152,CUST_000439,Toys,Action Figure,5,166.41,832.06,2023-11-18,51,Male,杭州
ORD_00000153,CUST_000271,Health,Massage Gun,1,109.59,109.59,2023-12-08,54,Male,武汉
ORD_00000154,CUST_001916,Toys,Remote Car,2,48.66,97.33,2023-09-08,56,Female,成都
ORD_00000155,CUST_001181,Beauty,Hair Dryer,1,136.67,136.67,2023-04-07,42,Male,北京
ORD_00000156,CUST_000498,Automotive,Tire Pump,1,329.39,329.39,2023-09-17,45,Male,广州
ORD_00000157,CUST_000969,Automotive,Car Accessories,5,296.58,1482.91,2023-06-20,21,Female,重庆
ORD_00000158,CUST_000834,Books,Python Programming,3,72.46,217.39,2023-10-11,26,Male,天津
ORD_00000159,CUST_000194,Clothing,T-Shirt,2,30.61,61.22,2023-08-16,64,Female,南京
ORD_00000160,CUST_001350,Beauty,Skincare Set,4,129.0,515.98,2023-10-17,39,Male,深圳
ORD_00000161,CUST_000726,Beauty,Skincare Set,2,94.34,188.68,2023-02-25,19,Female,苏州
ORD_00000162,CUST_000842,Beauty,Perfume,1,18.02,18.02,2023-01-18,38,Female,郑州
ORD_00000163,CUST_001770,Health,Massage Gun,5,117.54,587.7,2023-06-20,34,Female,深圳
ORD_00000164,CUST_000111,Health,Protein Powder,5,275.59,1377.93,2023-03-20,32,Male,苏州
ORD_00000165,CUST_001339,Food,Honey,2,59.66,119.32,2023-10-13,53,Female,杭州
ORD_00000166,CUST_000202,Electronics,iPad,2,3075.86,6151.72,2023-07-15,25,Male,深圳
ORD_00000167,CUST_000825,Health,Massage Gun,3,120.5,361.5,2023-05-26,67,Male,深圳
ORD_00000168,CUST_000695,Automotive,Car Accessories,2,323.55,647.11,2023-03-11,24,Male,北京
ORD_00000169,CUST_001765,Clothing,T-Shirt,2,36.82,73.63,2023-11-01,23,Female,上海
ORD_00000170,CUST_000510,Books,Python Programming,4,79.14,316.57,2023-10-12,30,Male,南京
ORD_00000171,CUST_000390,Toys,Action Figure,5,147.38,736.88,2023-01-09,52,Male,郑州
ORD_00000172,CUST_000919,Clothing,Dress,3,175.19,525.58,2023-10-25,41,Female,武汉
ORD_00000173,CUST_000865,Clothing,Sweater,3,247.47,742.41,2023-07-17,51,Female,深圳
ORD_00000174,CUST_000571,Beauty,Perfume,4,21.3,85.19,2023-11-24,25,Female,广州
ORD_00000175,CUST_000512,Electronics,AirPods,1,1020.58,1020.58,2023-01-24,45,Female,天津
ORD_00000176,CUST_000908,Automotive,Car Accessories,3,306.6,919.79,2023-07-04,61,Male,南京
ORD_00000177,CUST_001765,Toys,Puzzle,4,120.03,480.11,2023-10-13,23,Female,上海
ORD_00000178,CUST_000201,Electronics,iPad,5,3489.54,17447.71,2023-07-31,55,Male,苏州
ORD_00000179,CUST_001336,Toys,Action Figure,5,159.16,795.82,2023-02-11,38,Male,广州
ORD_00000180,CUST_001713,Electronics,iPhone 14,2,2198.44,4396.88,2023-06-07,29,Male,武汉
ORD_00000181,CUST_001985,Electronics,Gaming Laptop,2,794.41,1588.82,2023-09-30,23,Female,成都
ORD_00000182,CUST_001898,Automotive,Dash Cam,1,261.7,261.7,2023-10-05,38,Female,郑州
ORD_00000183,CUST_001739,Books,Web Development,3,28.37,85.12,2023-02-26,22,Male,杭州
ORD_00000184,CUST_000341,Sports,Basketball,4,96.88,387.5,2023-04-24,57,Female,成都
ORD_00000185,CUST_000995,Beauty,Hair Dryer,5,102.49,512.44,2023-12-07,38,Male,杭州
ORD_00000186,CUST_000438,Sports,Tennis Racket,5,337.26,1686.28,2023-11-17,61,Female,南京
ORD_00000187,CUST_001849,Electronics,iPad,3,3004.95,9014.84,2023-10-04,40,Female,杭州
ORD_00000188,CUST_000338,Sports,Dumbbells,5,206.74,1033.69,2023-03-02,68,Female,深圳
ORD_00000189,CUST_000005,Sports,Dumbbells,2,242.77,485.54,2023-03-06,35,Female,成都
ORD_00000190,CUST_000544,Automotive,Tire Pump,4,456.17,1824.69,2023-06-20,49,Male,郑州
ORD_00000191,CUST_001608,Beauty,Perfume,1,21.24,21.24,2023-01-23,40,Male,青岛
ORD_00000192,CUST_000585,Beauty,Skincare Set,4,112.26,449.05,2023-04-18,49,Male,苏州
ORD_00000193,CUST_001427,Health,Massage Gun,2,102.0,204.01,2023-07-25,44,Male,成都
ORD_00000194,CUST_001605,Toys,Puzzle,3,134.11,402.32,2023-05-05,69,Male,郑州
ORD_00000195,CUST_001356,Health,Thermometer,1,205.78,205.78,2023-11-22,49,Male,南京
ORD_00000196,CUST_000997,Clothing,Jacket,1,230.97,230.97,2023-08-27,29,Male,西安
ORD_00000197,CUST_000389,Home & Garden,Vacuum Cleaner,5,348.31,1741.57,2023-07-30,45,Male,上海
ORD_00000198,CUST_000446,Electronics,iPad,2,2694.3,5388.61,2023-04-07,25,Male,西安
ORD_00000199,CUST_001187,Automotive,Car Charger,2,194.5,389.0,2023-12-01,39,Female,深圳
ORD_00000200,CUST_001111,Electronics,iPad,4,3603.25,14413.0,2023-04-07,26,Female,长沙
ORD_00000201,CUST_001532,Home & Garden,Kitchen Set,4,436.8,1747.22,2023-07-11,26,Male,南京
ORD_00000202,CUST_000118,Electronics,iPad,3,3576.75,10730.26,2023-11-13,36,Female,青岛
ORD_00000203,CUST_001197,Beauty,Hair Dryer,2,138.65,277.3,2023-04-07,22,Female,长沙
ORD_00000204,CUST_001030,Toys,Board Game,5,134.09,670.45,2023-03-20,29,Male,青岛
ORD_00000205,CUST_000323,Electronics,iPad,3,2659.73,7979.19,2023-02-03,68,Female,南京
ORD_00000206,CUST_001968,Toys,LEGO Set,1,27.95,27.95,2023-05-31,61,Male,上海
ORD_00000207,CUST_000165,Clothing,Sweater,3,329.58,988.75,2023-10-14,36,Male,武汉
ORD_00000208,CUST_000141,Food,Chocolate,2,81.87,163.75,2023-04-15,37,Female,上海
ORD_00000209,CUST_000140,Health,Protein Powder,1,281.41,281.41,2023-06-29,45,Female,天津
ORD_00000210,CUST_001766,Books,Web Development,2,23.14,46.27,2023-08-14,35,Male,西安
ORD_00000211,CUST_000827,Clothing,Jeans,4,267.98,1071.94,2023-07-28,42,Female,郑州
ORD_00000212,CUST_001929,Toys,Remote Car,1,49.31,49.31,2023-07-10,39,Male,青岛
ORD_00000213,CUST_000505,Food,Organic Tea,2,14.65,29.3,2023-07-23,65,Female,杭州
ORD_00000214,CUST_001218,Electronics,MacBook Pro,1,3725.23,3725.23,2023-03-03,19,Male,西安
ORD_00000215,CUST_001269,Electronics,Gaming Laptop,3,937.9,2813.7,2023-11-16,67,Male,上海
ORD_00000216,CUST_000859,Health,Vitamins,3,33.2,99.59,2023-05-10,51,Male,重庆
ORD_00000217,CUST_001196,Toys,Remote Car,4,56.51,226.03,2023-01-13,67,Male,南京
ORD_00000218,CUST_001071,Home & Garden,Kitchen Set,1,537.99,537.99,2023-10-05,19,Female,西安
ORD_00000219,CUST_001915,Books,AI Handbook,2,32.22,64.44,2023-03-15,61,Male,天津
ORD_00000220,CUST_000419,Health,Vitamins,1,30.93,30.93,2023-04-27,51,Female,西安
ORD_00000221,CUST_001467,Home & Garden,Kitchen Set,1,417.06,417.06,2023-04-30,59,Male,北京
ORD_00000222,CUST_000489,Books,AI Handbook,1,29.07,29.07,2023-08-17,23,Female,南京
ORD_00000223,CUST_000811,Clothing,Dress,1,151.1,151.1,2023-11-14,22,Female,北京
ORD_00000224,CUST_001376,Food,Honey,1,48.77,48.77,2023-09-30,48,Male,武汉
ORD_00000225,CUST_000615,Beauty,Perfume,5,19.36,96.8,2023-04-04,54,Female,长沙
ORD_00000226,CUST_000648,Automotive,Dash Cam,2,252.25,504.49,2023-05-29,25,Male,南京
ORD_00000227,CUST_001917,Electronics,AirPods,2,997.44,1994.88,2023-06-01,28,Female,重庆
ORD_00000228,CUST_000020,Beauty,Perfume,2,19.09,38.18,2023-10-01,18,Female,武汉
ORD_00000229,CUST_001273,Toys,Remote Car,2,48.63,97.26,2023-04-11,35,Female,郑州
ORD_00000230,CUST_000205,Electronics,AirPods,5,804.96,4024.79,2023-03-14,58,Male,天津
ORD_00000231,CUST_001102,Books,Data Science,1,24.36,24.36,2023-05-12,22,Male,成都
ORD_00000232,CUST_001037,Books,AI Handbook,2,34.81,69.62,2023-02-16,39,Male,成都
ORD_00000233,CUST_000272,Sports,Running Shoes,3,134.59,403.76,2023-07-24,34,Male,重庆
ORD_00000234,CUST_001805,Electronics,AirPods,3,852.4,2557.2,2023-09-04,40,Male,长沙
ORD_00000235,CUST_001801,Books,Web Development,3,22.47,67.42,2023-01-26,28,Male,重庆
ORD_00000236,CUST_000757,Home & Garden,Vacuum Cleaner,1,390.36,390.36,2023-06-23,47,Female,广州
ORD_00000237,CUST_000324,Beauty,Makeup Kit,4,128.65,514.6,2023-06-30,23,Male,广州
ORD_00000238,CUST_001708,Toys,Action Figure,3,136.73,410.2,2023-10-25,45,Male,上海
ORD_00000239,CUST_001441,Home & Garden,Garden Tools,3,261.26,783.79,2023-03-17,44,Female,广州
ORD_00000240,CUST_001253,Automotive,Car Accessories,1,291.96,291.96,2023-05-11,40,Female,深圳
ORD_00000241,CUST_001340,Toys,Board Game,3,160.06,480.18,2023-06-03,30,Male,上海
ORD_00000242,CUST_000017,Health,Vitamins,3,35.39,106.16,2023-12-22,52,Female,南京
ORD_00000243,CUST_001674,Toys,Puzzle,5,129.16,645.82,2023-02-15,42,Female,武汉
ORD_00000244,CUST_000614,Health,Vitamins,4,33.25,132.98,2023-07-08,61,Male,上海
ORD_00000245,CUST_000213,Clothing,Dress,1,154.51,154.51,2023-09-23,18,Female,青岛
ORD_00000246,CUST_000542,Clothing,Jeans,2,271.29,542.58,2023-12-14,58,Male,武汉
ORD_00000247,CUST_001823,Clothing,T-Shirt,4,31.71,126.85,2023-08-21,19,Male,天津
ORD_00000248,CUST_001521,Toys,Puzzle,3,104.91,314.72,2023-11-30,28,Female,天津
ORD_00000249,CUST_000319,Home & Garden,Coffee Maker,1,477.22,477.22,2023-10-28,55,Female,青岛
ORD_00000250,CUST_000578,Food,Chocolate,4,62.05,248.2,2023-03-09,30,Male,南京
ORD_00000251,CUST_000432,Health,Thermometer,5,196.94,984.71,2023-01-02,62,Male,西安
ORD_00000252,CUST_000703,Books,Data Science,4,28.51,114.05,2023-05-20,41,Male,长沙
ORD_00000253,CUST_001408,Food,Coffee Beans,2,16.76,33.51,2023-09-26,51,Female,南京
ORD_00000254,CUST_001747,Books,AI Handbook,2,37.1,74.2,2023-05-29,56,Female,杭州
ORD_00000255,CUST_001036,Beauty,Face Mask,4,41.19,164.77,2023-03-07,39,Female,广州
ORD_00000256,CUST_000515,Electronics,iPad,2,3612.55,7225.11,2023-03-20,53,Female,南京
ORD_00000257,CUST_000190,Food,Coffee Beans,5,17.67,88.37,2023-09-11,30,Male,西安
ORD_00000258,CUST_000868,Home & Garden,Coffee Maker,4,475.41,1901.65,2023-10-03,21,Male,深圳
ORD_00000259,CUST_000091,Electronics,iPhone 14,3,2274.86,6824.58,2023-07-02,50,Male,长沙
ORD_00000260,CUST_000684,Automotive,Car Cover,4,101.9,407.59,2023-04-10,32,Male,天津
ORD_00000261,CUST_000268,Food,Coffee Beans,3,15.54,46.62,2023-08-26,40,Female,青岛
ORD_00000262,CUST_000537,Clothing,Sneakers,5,29.85,149.27,2023-10-05,24,Male,北京
ORD_00000263,CUST_001519,Beauty,Makeup Kit,2,114.12,228.24,2023-05-03,20,Male,成都
ORD_00000264,CUST_001130,Health,Thermometer,5,196.77,983.83,2023-03-12,44,Female,天津
ORD_00000265,CUST_000876,Toys,Puzzle,3,116.19,348.56,2023-06-04,41,Male,重庆
ORD_00000266,CUST_000020,Clothing,Jeans,5,219.28,1096.4,2023-10-31,18,Female,武汉
ORD_00000267,CUST_000155,Health,First Aid Kit,3,99.13,297.39,2023-05-23,41,Female,北京
ORD_00000268,CUST_001852,Clothing,Jacket,3,189.06,567.17,2023-01-23,26,Male,武汉
ORD_00000269,CUST_001118,Electronics,MacBook Pro,5,3738.9,18694.49,2023-09-28,49,Female,重庆
